C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
142  |* k Tau                            |PM*|04 58 09.3923534616 +25 03 01.469484500|074.5391348060902 +25.0504081901389|     ~| 5.803| 5.785|     ~|     ~|A0V                  |  63 |   0
143  |* 35 Vul                           |*  |21 27 40.0571342311 +27 36 30.932065572|321.9169047259628 +27.6085922404367|     ~| 5.421| 5.379|     ~|     ~|A1VmA3               |  60 |   0
144  |HD 118295                          |*  |13 35 14.0991266530 +44 11 49.363619271|203.8087463610543 +44.1970454497974|     ~| 7.032| 6.826|     ~|     ~|A8.5III              |  39 |   0
145  |HD 76990                           |*  |09 15 21.4291769443 +84 10 51.655824192|138.8392882372680 +84.1810155067201| 6.680| 6.600| 6.280|     ~|     ~|F2III                |  29 |   0
146  |HD 645                             |RG*|00 10 42.8342828399 -12 34 47.636603196|002.6784761784994 -12.5798990564433|     ~| 6.861| 5.849|     ~|     ~|K0III                |  57 |   0
147  |HD 37397                           |V* |05 38 13.7369710444 -01 10 09.032009413|084.5572373793517 -01.1691755581702| 5.93 | 6.675| 6.826|     ~|     ~|B3V                  |  70 |   0
148  |HD 193092                          |V* |20 16 55.2856832622 +40 21 54.270388173|304.2303570135924 +40.3650751078258|     ~| 6.871| 5.236|     ~|     ~|K3IIIaFe-1           |  73 |   0
149  |HD 48038                           |*  |06 40 57.3074497753 -12 10 56.120655025|100.2387810407306 -12.1822557375069| 6.26 | 6.956| 6.922| 7.93 |     ~|B2III                |  27 |   0
150  |* 4 Vul                            |PM*|19 25 28.6030389568 +19 47 54.059820943|291.3691793289867 +19.7983499502619| 6.95 | 6.14 | 5.16 |     ~|     ~|K0III                |  81 |   0
151  |V* W Gem                           |cC*|06 34 57.4524314200 +15 19 49.698631280|098.7393851309166 +15.3304718420221| 7.79 | 7.25 | 6.54 |     ~| 5.908|F5-G1                | 208 |   0
152  |* 69 Aql                           |PM*|20 29 38.9999549164 -02 53 07.917559356|307.4124998121515 -02.8855326553767|     ~| 6.065| 4.900|     ~|     ~|K1/2III              |  76 |   0
153  |* del02 CMi                        |*  |07 33 11.6656603150 +03 17 25.368828701|113.2986069179792 +03.2903802301946|     ~| 5.895| 5.571|     ~|     ~|F0/2IV/V             |  58 |   0
154  |* bet Lac                          |** |22 23 33.6237466 +52 13 44.564655      |335.8900989442 +52.2290457375      | 6.26 | 5.46 | 4.44 | 3.67 | 3.10 |G9IIIbCa1            | 148 |   0
155  |* 23 Leo                           |*  |09 51 01.9841984403 +13 03 58.461323253|147.7582674935014 +13.0662392564592| 9.970| 8.030| 6.450|10.9  |     ~|M0III                |  42 |   0
156  |HD 95771                           |PM*|11 03 14.5401499986 -00 45 08.427173592|165.8105839583274 -00.7523408815532|     ~| 6.371| 6.117|11.4  |     ~|A8/9IV               |  30 |   0
157  |HD 26256                           |PM*|04 09 27.2246667323 +06 43 30.185822817|062.3634361113847 +06.7250516174492|     ~| 6.82 | 6.73 |     ~|     ~|B9                   |  13 |   0
158  |* 47 Oph                           |SB*|17 26 37.8809423 -05 05 11.749992      |261.6578372596 -05.0865972200      | 4.90 | 4.93 | 4.54 | 4.16 | 3.95 |F3V                  | 152 |   0
159  |HD 70200                           |*  |08 16 52.9293201525 -64 11 13.412094860|124.2205388339687 -64.1870589152390|     ~| 6.58 | 6.67 |     ~|     ~|B8V                  |  16 |   0
160  |V* V468 Car                        |a2*|08 25 09.2969846 -55 28 22.182877      |126.2887374358 -55.4728285769      |     ~| 6.56 | 6.61 |     ~|     ~|ApSi                 |  21 |   1
161  |HD 36208                           |*  |05 22 32.3050718837 -73 48 05.160412860|080.6346044661821 -73.8014334480168|     ~| 8.32 | 6.85 |     ~|     ~|K3III(CNIII/IV)      |  16 |   0
162  |* mu. Tau                          |*  |04 15 32.0568707393 +08 53 32.491567629|063.8835702947469 +08.8923587687858| 3.74 | 4.205| 4.279|     ~|     ~|B3IV                 | 141 |   0
163  |HD 40672                           |*  |06 00 01.1299670717 -08 06 27.161817102|090.0047081961320 -08.1075449491950|     ~| 8.14 | 6.61 |     ~|     ~|K2III                |   7 |   0
164  |* 32 Gem                           |V* |06 45 54.1993473783 +12 41 36.831411248|101.4758306140762 +12.6935642809021| 7.080| 6.800| 6.470|     ~|     ~|A9III                |  50 |   0
165  |HD 75811                           |** |08 52 24.1815243067 +05 20 25.098929677|133.1007563512779 +05.3403052582435|     ~| 6.456| 6.350|     ~| 6.21 |A5V                  |  35 |   1
166  |BD+47 2951                         |Er*|19 54 50.2605213981 +47 45 09.953657685|298.7094188391588 +47.7527649049126|     ~| 7.78 | 6.70 |     ~|     ~|F1Vnwkmet(A5)        |   5 |   0
167  |HD 13690                           |*  |02 14 52.5159666135 +48 46 56.602947636|033.7188165275561 +48.7823897076768|     ~| 7.83 | 6.73 |     ~|     ~|G5                   |   9 |   0
168  |HD 150698                          |PM*|16 43 51.4347032942 -26 48 32.196302761|250.9643112637258 -26.8089434174337|     ~| 7.38 | 6.71 |     ~|     ~|G2/3V                |  51 |   0
169  |HD 221835                          |*  |23 35 32.0717917239 -07 27 51.951262061|353.8836324655164 -07.4644309061280|     ~| 7.301| 6.407|     ~|     ~|G6/8III              |  17 |   0
170  |HD 195922                          |*  |20 33 53.7097409481 +10 03 35.116409480|308.4737905872836 +10.0597545581889|     ~| 6.625| 6.536|     ~|     ~|A2Vnn                |  26 |   0
171  |HD 146349                          |** |16 20 00.46255 -64 38 55.7342          |245.00192729 -64.64881506          |     ~| 6.816| 6.850|     ~|     ~|B9/9.5V              |   7 |   1
172  |V* BS Scl                          |dS*|23 28 25.2293135444 -25 25 13.954356972|352.1051221397684 -25.4205428769368|     ~| 7.06 | 6.90 |     ~|     ~|A3                   |  17 |   0
173  |V* V951 Sco                        |a2*|17 53 58.1354276403 -34 49 51.808056817|268.4922309485011 -34.8310577935604|     ~| 6.43 | 6.42 |     ~|     ~|kB6hA0VHeA0pSiCr     |  97 |   0
174  |* 54 Cam                           |RS*|08 02 35.7835065543 +57 16 25.063421482|120.6490979439761 +57.2736287281894|     ~| 7.11 | 6.49 |     ~|     ~|F8V                  | 169 |   0
175  |HD 5608                            |SB*|00 58 14.2189985058 +33 57 03.183314539|014.5592458271075 +33.9508842540386|     ~| 6.996| 5.980|     ~|     ~|K0III                |  51 |   1
176  |* b Cap                            |PM*|21 28 43.4007001 -21 48 25.850412      |322.1808362504 -21.8071806700      | 6.00 | 5.40 | 4.50 | 3.83 | 3.37 |G7IIIbFe-1           |  68 |   0
177  |HD 111884                          |PM*|12 53 04.1639829235 -54 57 08.902700447|193.2673499288478 -54.9524729723464|     ~| 7.217| 5.908|     ~|     ~|K2III                |  25 |   0
178  |HD 50445                           |PM*|06 51 42.4213054238 -36 13 48.974966579|102.9267554392660 -36.2302708240496|     ~| 6.120| 5.940|     ~|     ~|A3V                  |  29 |   0
179  |V* V1743 Cyg                       |LP*|19 33 41.6056609174 +49 15 44.345568203|293.4233569204893 +49.2623182133896| 9.37 | 7.60 | 5.96 |     ~|     ~|M4.5III              |  76 |   0
180  |* 10 Cet                           |** |00 26 37.4150592 -00 02 58.312256      |006.6558960800 -00.0495311822      |     ~| 7.109| 6.192|     ~|     ~|G6IIIFe-1            |  33 |   0
181  |HD 13121                           |V* |01 55 41.9822157988 -84 45 04.154750932|028.9249258991618 -84.7511540974810|     ~| 8.58 | 6.97 |     ~|     ~|M1III                |  14 |   0
182  |HD 194220A                         |PM*|20 22 55.5324983393 +42 59 00.751976542|305.7313854097471 +42.9835422157061|     ~| 7.32 | 6.30 |     ~|     ~|~                    |   1 |   0
183  |HD 112235                          |V* |12 55 11.0902162311 +03 02 57.532423831|193.7962092342962 +03.0493145621754|     ~| 8.15 | 6.95 |     ~|     ~|K0/1III              |  10 |   0
184  |HD 211607                          |PM*|22 18 04.0836862214 +13 57 01.160143466|334.5170153592560 +13.9503222620740|     ~| 7.82 | 6.85 |     ~|     ~|K0                   |  15 |   0
185  |HD 62412                           |*  |07 42 48.1524602837 -26 21 04.772486661|115.7006352511821 -26.3513256907392|     ~| 6.615| 5.628|     ~|     ~|K1III                |  36 |   0
186  |HD 197562                          |*  |20 43 47.6722460283 +23 47 27.999745331|310.9486343584512 +23.7911110403696| 6.640| 6.890| 6.930|     ~|     ~|A0                   |  13 |   0
187  |HD 74146                           |SB*|08 39 57.5996312070 -53 03 16.999913803|129.9899984633623 -53.0547221982785| 4.48 | 5.05 | 5.19 |     ~|     ~|B5IV                 | 104 |   0
188  |HD 28413                           |*  |04 25 05.3367810808 -61 14 17.488084290|066.2722365878366 -61.2381911345251|     ~| 7.467| 5.922|     ~|     ~|K4/5III              |  19 |   0
189  |HD 139461                          |SB*|15 38 40.0605002201 -08 47 29.205996075|234.6669187509173 -08.7914461100209|     ~| 7.00 | 6.48 |     ~|     ~|F6.5V                |  65 |   0
190  |HD 142596                          |PM*|15 55 42.2735580235 -08 38 51.525834208|238.9261398250978 -08.6476460650578|     ~| 8.06 | 6.98 |     ~|     ~|K0III                |   9 |   0
191  |HD 98022                           |*  |11 15 53.6804678784 -47 55 15.082519750|168.9736686161601 -47.9208562554862|     ~| 6.51 | 6.55 |     ~|     ~|A0V                  |  11 |   0
192  |[SC93] 106                         |*  |06 15 00.0 +03 57 00                   |093.7500 +03.9500                  |     ~|     ~| 6.42 |     ~|     ~|B9                   |   1 |   0
193  |HD 184787                          |*  |19 34 18.1906929215 +41 55 37.987600079|293.5757945538394 +41.9272187777997|     ~| 6.664| 6.676|     ~|     ~|A0V                  |  23 |   0
194  |HD 181409                          |*  |19 19 03.7406123490 +33 23 19.711482094|289.7655858847874 +33.3888087450262| 5.51 | 6.394| 6.586|     ~|     ~|B2IVe                |  55 |   0
195  |HD 116177                          |*  |13 22 06.4022828860 -14 25 11.543880753|200.5266761786918 -14.4198733002093|     ~| 8.36 | 6.84 |     ~|     ~|K5III                |   8 |   0
196  |HD 157911                          |*  |17 24 39.2763415747 +32 40 13.364209752|261.1636514232279 +32.6703789471532|     ~| 7.65 | 6.68 |     ~|     ~|K0                   |  14 |   0
197  |* z02 Car                          |s*b|11 08 33.9973934107 -61 56 49.825990457|167.1416558058780 -61.9471738862381| 4.96 | 5.42 | 5.19 | 4.89 | 4.72 |B9.5Ia               |  81 |   0
198  |V* S Car                           |Mi*|10 09 21.8940682260 -61 32 56.430903888|152.3412252842752 -61.5490085844133| 9.38 | 7.63 | 5.71 | 5.20 | 3.64 |K5-M6e               | 134 |   0
199  |* ups Peg                          |PM*|23 25 22.7835046 +23 24 14.760593      |351.3449312692 +23.4041001647      | 5.15 | 5.01 | 4.40 | 3.86 | 3.54 |F8III                | 245 |   0
200  |HD 111930                          |*  |12 53 13.2999560765 -39 23 24.808458537|193.3054164836520 -39.3902245718159|     ~| 8.39 | 6.85 |     ~|     ~|K3III                |   8 |   1
201  |HD 217590                          |PM*|23 01 43.5805158882 +03 31 51.268582262|345.4315854828676 +03.5309079395172|     ~| 7.43 | 6.45 |     ~|     ~|G8III                |  10 |   0
202  |HD 134060                          |PM*|15 10 44.7429942541 -61 25 20.361553963|227.6864291427254 -61.4223226538786|     ~| 6.91 | 6.285| 6.16 | 8.68 |G0VFe+0.4            | 113 |   1
203  |HD 135061                          |PM*|15 12 47.1723685897 +10 42 08.303062391|228.1965515357903 +10.7023064062196|     ~| 7.79 | 6.50 |     ~|     ~|K2                   |  10 |   0
204  |HD 191829                          |PM*|20 14 19.0233390690 -52 26 44.775708607|303.5792639127876 -52.4457710301685|     ~| 7.152| 5.632|     ~|     ~|K4III                |  13 |   0
205  |* 25 Her                           |** |16 25 24.1681736016 +37 23 38.579755312|246.3507007233400 +37.3940499320311| 5.790| 5.710| 5.540|     ~|     ~|A5V                  |  97 |   0
206  |HD 155231                          |*  |17 10 15.5569734394 +00 28 53.827254712|257.5648207226641 +00.4816186818645|     ~| 7.77 | 6.84 |     ~|     ~|K0III                |  18 |   0
207  |HD 210000                          |PM*|22 07 35.2982767890 -14 29 26.729061234|331.8970761532876 -14.4907580725651|     ~| 6.84 | 6.71 |     ~|     ~|A2/3III              |   7 |   0
208  |HD 124517                          |** |14 13 49.45968 +11 59 51.8829          |213.45608199 +11.99774525          |     ~| 7.84 | 6.71 |     ~|     ~|K0                   |  18 |   1
209  |HD 145782                          |PM*|16 15 49.7977429115 -57 54 44.460235598|243.9574905954646 -57.9123500654440|     ~| 5.744| 5.622|     ~|     ~|A3III                |  30 |   0
210  |HD 144204                          |*  |16 02 05.5657635885 +52 54 57.369848893|240.5231906816187 +52.9159360691369|     ~| 7.420| 5.902|     ~|     ~|K5III                |  29 |   0
211  |HD 189567                          |PM*|20 05 32.7652367983 -67 19 15.228862402|301.3865218199929 -67.3208969062228| 6.79 | 6.71 | 6.07 |     ~|     ~|G2V                  | 209 |   1
212  |V* V400 Vul                        |EB*|20 40 42.2655937690 +26 04 45.089201800|310.1761066407040 +26.0791914449444|     ~| 6.81 | 6.75 |     ~|     ~|A0                   |  10 |   0
213  |HD 565                             |*  |00 09 52.1158981686 -62 17 48.459018672|002.4671495757026 -62.2967941718534|     ~| 6.48 | 6.33 |     ~|     ~|A6V                  |  24 |   0
214  |HD 122768                          |*  |14 03 21.9862386079 +22 29 44.718775242|210.8416093275331 +22.4957552153451|     ~| 7.179| 6.858|     ~|     ~|F0                   |  16 |   0
215  |HD 211726                          |*  |22 20 36.2736391283 -57 30 35.215259679|335.1511401630346 -57.5097820165776|     ~| 7.807| 6.396|     ~|     ~|K3/4III              |  10 |   0
216  |* mu. Gem                          |LP*|06 22 57.62686 +22 30 48.8979          |095.74011193 +22.51358275          | 6.37 | 4.51 | 2.87 | 1.30 |-0.08 |M3IIIab              | 370 |   1
217  |* gam02 Cae                        |dS*|05 04 26.15698 -35 42 18.3830          |076.10898742 -35.70510640          |     ~| 6.607| 6.314|     ~|     ~|F2IV/V               |  75 |   0
218  |HD 85829                           |*  |09 56 06.0180179957 +52 16 08.338736967|149.0250750749821 +52.2689829824908|     ~| 7.61 | 6.62 |     ~|     ~|K0                   |  11 |   0
219  |HD 150608                          |*  |16 43 47.5938191703 -38 09 22.874048527|250.9483075798761 -38.1563539023685|     ~| 5.985| 6.046|     ~|     ~|B9II/III             |  25 |   0
220  |HD 24395                           |*  |03 55 46.3708615669 +56 55 08.480693805|058.9432119231956 +56.9190224149458| 7.370| 7.200| 6.920|     ~|     ~|F0Vnn                |  31 |   0
221  |HR 6178                            |** |16 39 05.2270886555 -37 13 02.554614265|249.7717795360646 -37.2173762817403|     ~| 5.895| 5.914|     ~|     ~|B9/A0V+B             |  29 |   1
222  |HD 44323                           |*  |06 19 40.9570878097 -34 23 47.725457331|094.9206545325404 -34.3965904048141|     ~| 5.666| 5.749|     ~|     ~|B9V                  |  33 |   0
223  |HD 190429                          |** |20 03 29.39885 +36 01 30.5082          |300.87249522 +36.02514116          | 5.98 | 6.78 | 6.63 |     ~|     ~|O4If+O9.5II          | 199 |   0
224  |[SC96] Mis 715                     |UV |17 50 24.0 -34 22 00                   |267.6000 -34.3667                  |     ~|     ~| 6.87 |     ~|     ~|~                    |   1 |   0
225  |HD 36136                           |*  |05 27 44.8491164536 -39 13 18.922740293|081.9368713185565 -39.2219229834148|     ~| 7.75 | 6.85 |     ~|     ~|G8III                |  11 |   0
226  |V* T TrA                           |V* |15 09 36.5496102178 -68 43 17.120237939|227.4022900425742 -68.7214222883164|     ~| 6.810| 6.832|     ~|     ~|B9IV                 |  11 |   0
227  |HD 154153                          |*  |17 05 48.4607447649 -44 06 18.164029462|256.4519197698535 -44.1050455637394|     ~| 6.450| 6.178|     ~|     ~|F1VkA3mA3_lB?        |  55 |   1
228  |HD 175156                          |*  |18 54 43.1142638 -15 36 10.935636      |283.6796427658 -15.6030376767      |     ~| 5.208| 5.086|     ~|     ~|B3II                 | 112 |   0
229  |V* IM Peg                          |RS*|22 53 02.2658951462 +16 50 28.291474642|343.2594412297758 +16.8411920762894|     ~| 7.024| 5.890|     ~|     ~|K2III                | 323 |   1
230  |HD 35656                           |*  |05 26 38.8297427821 +06 52 07.172034730|081.6617905949255 +06.8686588985362|     ~| 6.387| 6.399|     ~| 6.41 |B9V                  |  42 |   0
231  |* 36 Dor                           |PM*|05 54 06.0563264677 -63 05 23.196262583|088.5252346936153 -63.0897767396065|     ~| 5.70 | 4.66 |     ~|     ~|K2III-IV             | 101 |   0
232  |* c02 Aqr                          |PM*|23 09 26.7968126 -21 10 20.681217      |347.3616533858 -21.1724114492      | 6.09 | 4.87 | 3.64 | 2.80 | 2.20 |K1.5III              |  97 |   0
233  |HD 21743B                          |PM*|03 31 19.8941368324 +27 34 18.409742610|052.8328922368015 +27.5717804840584|     ~| 7.01 | 6.92 |     ~|     ~|A3V                  |  12 |   0
234  |HD 119629                          |PM*|13 45 27.3210046816 -48 47 29.977096058|206.3638375195068 -48.7916603044606|     ~| 7.278| 6.762|     ~|     ~|F7V                  |  45 |   0
235  |HD 26549                           |*  |04 11 25.6026149128 -15 58 06.389371587|062.8566775621365 -15.9684414921075|     ~| 8.48 | 6.98 |     ~|     ~|K2/3IIICNIV/V        |   7 |   0
236  |HD 74686                           |*  |08 45 23.3099119123 +00 11 52.063592574|131.3471246329680 +00.1977954423818|     ~| 7.57 | 6.56 |     ~|     ~|K1III                |  13 |   0
