C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
112  |HD 117710                          |PM*|13 31 15.7664299154 +42 06 22.153052987|202.8156934579807 +42.1061536258298|     ~| 7.158| 6.065|     ~|     ~|K2III                |  37 |   0
113  |HD 15920                           |*  |02 38 02.0309703169 +72 49 05.710620879|039.5084623763205 +72.8182529502443|     ~| 6.063| 5.166|     ~|     ~|G8III                |  72 |   0
114  |HD 207503                          |*  |21 49 41.0148217779 -12 43 22.363212700|327.4208950907412 -12.7228786701945|     ~| 6.522| 6.298|     ~|     ~|A1/2III              |  35 |   0
115  |C 0257+602                         |OpC|02 59 23.00 +60 34 00.0                |044.84583 +60.56667                |     ~|     ~| 6.8  |     ~|     ~|~                    |   6 |   0
116  |HD 10863                           |PM*|01 46 01.0578838260 -27 20 55.792868862|026.5044078492748 -27.3488313524618|     ~| 6.729| 6.385|     ~|     ~|F2V                  |  41 |   0
117  |HD 167044                          |*  |18 12 32.2033334453 +24 27 05.989446086|273.1341805560221 +24.4516637350240|     ~| 8.11 | 6.97 |     ~|     ~|K0                   |  10 |   0
118  |HD 177199                          |*  |19 02 52.6214116471 +19 39 39.638865537|285.7192558818631 +19.6610107959826|     ~| 7.437| 6.094|     ~|     ~|K1III                |  19 |   0
119  |* iot Boo                          |dS*|14 16 09.9303389767 +51 22 02.032771982|214.0413764124031 +51.3672313255505| 5.01 | 4.95 | 4.75 | 4.60 | 4.51 |A7V                  | 156 |   0
120  |HD 167387                          |*  |18 11 07.1547097259 +60 24 34.314344391|272.7798112905247 +60.4095317623308| 6.440| 6.490| 6.500|     ~|     ~|A1Vnn                |  30 |   0
121  |* tet Lup                          |*  |16 06 35.5467521011 -36 48 08.156046899|241.6481114670878 -36.8022655685830| 3.36 | 4.027| 4.201|     ~|     ~|B2.5Vn               | 110 |   0
122  |HD 74236                           |*  |08 39 59.1785269264 -59 32 48.884170735|129.9965771955266 -59.5469122696485|     ~| 6.68 | 6.78 |     ~|     ~|B8IV                 |  16 |   0
123  |HD 192461                          |PM*|20 15 10.6296077097 -03 30 12.915354049|303.7942900321237 -03.5035875983470|     ~| 7.24 | 6.91 |     ~|     ~|F3IV/V               |  36 |   0
124  |* 31 Cas                           |*  |01 10 39.3207392488 +68 46 43.038602567|017.6638364135367 +68.7786218340465|     ~| 5.280| 5.309|     ~|     ~|A0Vnn                |  49 |   0
125  |HD 218880                          |*  |23 11 10.7873077493 +30 02 35.198639001|347.7949471156221 +30.0431107330557|     ~| 8.03 | 6.90 |     ~|     ~|K0III                |   8 |   0
126  |HD 124281                          |*  |14 13 13.2570123779 -26 36 44.312825421|213.3052375515746 -26.6123091181726|     ~| 7.289| 6.236|     ~|     ~|K0III                |  12 |   0
127  |* iot Tuc                          |LP*|01 07 18.6652204028 -61 46 31.043785857|016.8277717516784 -61.7752899405157|     ~| 6.211| 5.342|     ~|     ~|G5III                |  53 |   0
128  |HD 207165                          |*  |21 46 46.2445762835 +13 43 10.619671347|326.6926857345147 +13.7196165753742| 6.960| 6.850| 6.670|     ~|     ~|A3                   |  10 |   0
129  |HD 103437                          |** |11 54 25.8141277 -37 44 56.162219      |178.6075588654 -37.7489339497      |     ~| 6.98 | 6.46 |     ~|     ~|F7V                  |  51 |   0
130  |V* V1293 Aql                       |LP*|19 33 07.7655867379 +05 01 45.805013944|293.2823566114078 +05.0293902816511|     ~| 8.44 | 6.63 |     ~|     ~|M4III                |  35 |   1
131  |HD 101695                          |PM*|11 42 03.5281805836 -20 17 39.003080840|175.5147007524315 -20.2941675224556|     ~| 7.164| 6.200|     ~|     ~|G8IV                 |  17 |   0
132  |* R Aps                            |PM*|14 57 52.9827420078 -76 39 45.562563855|224.4707614250324 -76.6626562677374|     ~| 6.811| 5.359|     ~|     ~|K4III:               |  30 |   0
133  |HD 20809                           |*  |03 23 13.1963705140 +49 12 47.762585541|050.8049848771416 +49.2132673848724|     ~| 5.23 | 5.30 |     ~|     ~|B5V                  | 133 |   0
134  |HD 200435                          |*  |21 03 29.4992988438 -02 19 19.938389519|315.8729137451827 -02.3222051081996|     ~| 7.95 | 6.97 |     ~|     ~|K0III                |   7 |   0
135  |HD 10390                           |PM*|01 42 03.4894262410 +35 14 44.541144419|025.5145392760043 +35.2457058734498| 5.37 | 5.57 | 5.64 |     ~| 5.67 |B9IV-V               |  71 |   0
136  |HD 89897                           |*  |10 22 10.7680432904 -13 24 34.870300859|155.5448668470435 -13.4096861946830|     ~| 6.85 | 6.90 |     ~|     ~|ApSiCr               |  22 |   0
137  |HD 208527                          |*  |21 56 23.9845774113 +21 14 23.486334463|329.0999357392138 +21.2398573151286|10.090| 8.060| 6.370|     ~|     ~|K5V                  |  61 |   1
138  |HD 20393                           |V* |03 18 32.5495942552 +44 43 10.398741413|049.6356233093968 +44.7195552059481|     ~| 7.05 | 6.96 |     ~|     ~|A0                   |   7 |   0
139  |HD 84117                           |PM*|09 42 14.4165254340 -23 54 56.054079074|145.5600688559750 -23.9155705775205|     ~| 5.47 | 4.94 |     ~|     ~|F9V                  | 188 |   0
140  |* c Per                            |Be*|04 08 39.6921578 +47 42 45.042937      |062.1653839908 +47.7125119269      | 3.45 | 4.00 | 4.03 | 3.91 | 3.93 |B3Ve                 | 371 |   0
141  |HD 1917                            |PM*|00 23 53.1867855147 +60 57 40.995566249|005.9716116063114 +60.9613876572913|     ~| 6.941| 6.569|     ~|     ~|F2                   |  29 |   0
